MerchantID,Merchant Name,Category
1,Smith-Russell,Cosmetic
2,"Peck, Spence and Young",Travel
3,Steele Inc,Clothing
4,"Wilson, Wilson and Russell",Cosmetic
5,Palmer-Hinton,Electronics
6,"Tran, Torres and Joyce",Cosmetic
7,"Evans, Griffin and Torres",Cosmetic
8,Miller PLC,Cosmetic
9,Jackson-Morgan,Restaurant
10,"Blake, Mays and Anderson",Clothing
11,"Miller, Walker and Bond",Travel
12,"Barker, Ortiz and Cox",Market
13,Taylor-Morrow,Cosmetic
14,Gonzalez-Hunter,Cosmetic
15,Underwood-Contreras,Cosmetic
16,Rodriguez Ltd,Restaurant
17,Wilson-Zavala,Market
18,Hughes Inc,Market
19,Morris-Foster,Cosmetic
20,"Thompson, Lopez and Mason",Travel
21,"Barber, Williamson and Norman",Clothing
22,Shaw-Elliott,Clothing
23,Solis-Washington,Clothing
24,Wright Inc,Restaurant
25,"Nguyen, Patel and Dudley",Cosmetic
26,"Berry, Reeves and Best",Market
27,"Pacheco, Sullivan and Jones",Electronics
28,Dorsey Inc,Travel
29,"Fuller, Jones and White",Travel
30,Johnson-Campbell,Cosmetic
31,"Freeman, Bush and Zuniga",Cosmetic
32,Schwartz-Stephens,Cosmetic
33,Cook-Williams,Clothing
34,"Peck, Horn and Stanley",Travel
35,Gonzalez-Castro,Market
36,Padilla-Greene,Travel
37,Manning Inc,Travel
38,"Gilbert, Hernandez and Wilson",Electronics
39,Lynch Inc,Clothing
40,King-Wright,Travel
41,"White, Bernard and Adkins",Cosmetic
42,Mason PLC,Restaurant
43,Jimenez Inc,Electronics
44,Hamilton and Sons,Electronics
45,Thomas LLC,Cosmetic
46,Sanders PLC,Cosmetic
47,"Washington, Hinton and Sparks",Market
48,"French, Wright and Tapia",Clothing
49,Torres LLC,Electronics
50,Diaz LLC,Travel
51,Johnson LLC,Travel
52,Morales-Velasquez,Restaurant
53,Barnes-Walton,Cosmetic
54,Ellis-Zimmerman,Cosmetic
55,Nguyen-Bradley,Cosmetic
56,"Brooks, Reed and Adams",Restaurant
57,Cooper Inc,Restaurant
58,"Beck, Morris and Murphy",Travel
59,"Blankenship, Atkinson and Howard",Travel
60,Hester-Greer,Cosmetic
61,Wilcox PLC,Market
62,"Woodard, Boyd and Mays",Travel
63,"White, Hensley and Hayes",Market
64,"Collins, Hill and Chapman",Clothing
65,"Butler, Stewart and Peterson",Clothing
66,Howard-Miller,Restaurant
67,"Jackson, Ramirez and Jones",Cosmetic
68,Peterson LLC,Travel
69,Ward-Klein,Electronics
70,Kelly-Jones,Clothing
71,Stephens-Shelton,Travel
72,Smith Inc,Restaurant
73,"Odonnell, Bright and Lewis",Clothing
74,Rogers and Sons,Clothing
75,Oconnor PLC,Cosmetic
76,Yu and Sons,Restaurant
77,Phillips Inc,Market
78,"Mccormick, Adkins and Cobb",Restaurant
79,Rogers-Levy,Market
80,Matthews PLC,Market
81,"Jackson, Ray and Cooper",Travel
82,Carey Ltd,Electronics
83,"Chang, Blevins and Miller",Market
84,Patterson-Davenport,Market
85,Rice-Ramos,Cosmetic
86,"Miller, Foster and Reed",Cosmetic
87,Kim and Sons,Electronics
88,Arnold-Blackburn,Market
89,Montgomery-Ruiz,Market
90,"Davis, Griffin and Gates",Clothing
91,"Baker, Schaefer and Brown",Market
92,Bryant-Sanchez,Electronics
93,Frost-Smith,Market
94,Arnold Ltd,Clothing
95,Cook-Moore,Restaurant
96,Miller Inc,Clothing
97,"Thomas, Simpson and Tyler",Travel
98,"Bryant, Mcbride and White",Market
99,Young and Sons,Electronics
100,"Fuller, Bowen and Davis",Restaurant
101,Jackson and Sons,Electronics
102,"Waters, Morse and Gray",Market
103,"Richard, Hill and Cohen",Restaurant
104,Dawson-Ellis,Market
105,"Green, Wilson and Henry",Restaurant
106,Smith-Martinez,Restaurant
107,Patel LLC,Market
108,Moreno-Fernandez,Travel
109,Webster and Sons,Restaurant
110,Hays-Leon,Travel
111,Horton LLC,Cosmetic
112,"Brown, Jones and Perez",Cosmetic
113,Bass Inc,Cosmetic
114,Fleming-Cantrell,Restaurant
115,Miller-Taylor,Restaurant
116,Williams Inc,Market
117,Parker-Carey,Electronics
118,Roberts and Sons,Travel
119,Robertson-Golden,Clothing
120,"Valdez, Carter and Brown",Travel
121,Potts-Wood,Travel
122,Higgins Ltd,Clothing
123,Jones and Sons,Electronics
124,Harrison-Rose,Clothing
125,"Moore, Thompson and Russell",Restaurant
126,Casey-Powers,Electronics
127,"Hayes, Ross and Smith",Market
128,"Perkins, Jimenez and Hunter",Electronics
129,Robinson-Mitchell,Travel
130,"Ortiz, Carpenter and Collins",Travel
131,Anderson Inc,Clothing
132,Stanley-Morris,Market
133,Stone Group,Electronics
134,Vega-Jackson,Cosmetic
135,Greene Inc,Travel
136,Herring-Walsh,Clothing
137,Holt and Sons,Clothing
138,Hill LLC,Restaurant
139,Brown Group,Clothing
140,Turner Group,Travel
141,Nguyen-Booth,Clothing
142,"Frazier, Edwards and Wall",Cosmetic
143,"Hudson, Fry and Moore",Travel
144,Miller LLC,Electronics
145,"Jones, Sutton and Burton",Restaurant
146,Lewis Ltd,Cosmetic
147,"Kelly, Osborne and Moore",Clothing
148,"Wright, Christian and Moon",Clothing
149,Lang-Powell,Electronics
150,Stone-Joseph,Market
151,"Jones, Cortez and Weaver",Travel
152,Shelton PLC,Restaurant
153,Whitehead-Santos,Clothing
154,"Hart, Lynch and Gonzalez",Electronics
155,"Anderson, Garcia and Beard",Market
156,Haney-Palmer,Cosmetic
157,Brown Ltd,Restaurant
158,Melendez-Bennett,Clothing
159,"Hall, Wright and Jefferson",Travel
160,Nelson Inc,Market
161,"Wright, James and Smith",Cosmetic
162,Johnson Inc,Restaurant
163,Evans LLC,Restaurant
164,Ingram-Lucas,Electronics
165,Weiss Ltd,Clothing
166,Mcmillan Inc,Clothing
167,Hall and Sons,Travel
168,"Velasquez, Shah and Thomas",Market
169,"Aguilar, Rodriguez and Cruz",Clothing
170,Adkins-Weiss,Cosmetic
171,"Levy, Nelson and Wilson",Clothing
172,Campbell-Newman,Market
173,Wilson PLC,Clothing
174,Jones Group,Electronics
175,"Hernandez, Wiggins and Duncan",Clothing
176,Garcia Group,Clothing
177,Thornton-Ibarra,Electronics
178,Guerrero-Delgado,Market
179,Reyes-Perkins,Restaurant
180,James-Bennett,Electronics
181,"Hill, Bell and Morris",Electronics
182,Proctor-Rodgers,Travel
183,"Robles, Jackson and Lang",Clothing
184,Mullen-Jones,Travel
185,Downs-Donovan,Electronics
186,Mejia-Farley,Clothing
187,Chan-Myers,Clothing
188,Reed-Warner,Cosmetic
189,Fisher Group,Restaurant
190,"Orozco, Patterson and Robinson",Clothing
191,Nichols-Brown,Cosmetic
192,"Jones, Franklin and Lambert",Cosmetic
193,Mann-Mccormick,Restaurant
194,Burke Group,Market
195,Wu LLC,Travel
196,Lopez-Gonzalez,Restaurant
197,Gray-Smith,Restaurant
198,"Frey, Davis and Davis",Travel
199,Taylor-Lewis,Market
200,"Parsons, Ballard and Kelley",Clothing
201,Scott Ltd,Market
202,"Goodwin, Lopez and Skinner",Clothing
203,Duran-Hawkins,Clothing
204,"Thomas, Harrell and Davenport",Market
205,Richards Ltd,Travel
206,"Jennings, Lopez and Lamb",Clothing
207,Cox-Brown,Travel
208,Nicholson-Gonzales,Clothing
209,"Meyer, Ryan and Conway",Market
210,"Ellis, Chambers and Wilson",Cosmetic
211,Fernandez Group,Clothing
212,Little-Solomon,Travel
213,Robinson-Gibson,Electronics
214,"Gonzalez, Lowe and Key",Restaurant
215,"Hernandez, Johnson and Anderson",Electronics
216,"Robles, Miller and Perez",Restaurant
217,"Smith, Kerr and Brooks",Market
218,Hernandez LLC,Electronics
219,Martinez Inc,Travel
220,Tucker-Moreno,Market
221,Stout-Brock,Market
222,Fox Inc,Cosmetic
223,Davis Group,Market
224,"Case, Johnson and Wells",Restaurant
225,"Miller, Garza and Harvey",Cosmetic
226,Norton LLC,Electronics
227,Anderson-Stephens,Cosmetic
228,Berry-Huerta,Market
229,Tucker Group,Clothing
230,"Smith, Everett and Ellis",Restaurant
231,Rodriguez Group,Electronics
233,"Aguirre, Thompson and Davis",Restaurant
234,Gonzalez-Larson,Restaurant
235,Li-Lucas,Market
236,Guzman Ltd,Restaurant
237,Williams Group,Travel
238,Bailey and Sons,Electronics
239,"James, West and Smith",Clothing
240,Chandler-Watkins,Electronics
241,Green LLC,Electronics
242,Taylor-Thompson,Restaurant
243,Owens LLC,Restaurant
244,Wood-Williams,Electronics
245,Nixon-Thompson,Market
246,Garcia and Sons,Electronics
247,Haley-Smith,Travel
248,"Romero, Woods and Flores",Cosmetic
249,Day LLC,Clothing
250,"Cook, Estrada and Anderson",Market
251,Henderson Ltd,Restaurant
252,Carter Group,Travel
253,"Hernandez, Smith and Molina",Market
254,Stone Ltd,Electronics
255,"Henderson, Brooks and Sanchez",Market
256,"Powell, Spencer and Abbott",Electronics
257,Alexander-Miller,Travel
258,"Lester, West and Walker",Travel
259,"Cain, Ross and Sanchez",Cosmetic
260,"Parker, Fuller and Coleman",Electronics
261,Sanders-Lamb,Restaurant
262,Coleman LLC,Cosmetic
263,Carter-Garcia,Restaurant
264,Mcintosh-Snyder,Cosmetic
265,Heath Group,Travel
266,Rivas-Anderson,Travel
267,Le Group,Travel
268,Smith LLC,Cosmetic
269,Rodriguez-Nguyen,Cosmetic
270,"Barnett, Price and Perkins",Travel
271,Clark-Savage,Restaurant
272,Edwards-Rodgers,Market
273,"Dennis, Sanchez and Collins",Travel
274,Proctor-Davis,Electronics
275,Massey Inc,Restaurant
276,Foster-Lopez,Market
277,Kim LLC,Restaurant
278,Wilkinson Inc,Travel
279,"Rogers, Flowers and Dennis",Cosmetic
280,"Lee, Mahoney and Vargas",Travel
281,Robinson-Joseph,Market
282,Vega and Sons,Clothing
283,Davenport LLC,Travel
284,Atkins and Sons,Cosmetic
285,"Thomas, Fisher and Young",Travel
286,Daniel PLC,Cosmetic
287,"Tran, Roberts and Coleman",Clothing
288,"Holland, Colon and Joseph",Electronics
289,Jenkins Group,Cosmetic
290,"Cobb, Perez and Thomas",Restaurant
291,Cobb-Smith,Travel
292,"Stevens, Armstrong and Brown",Market
293,"Garcia, Smith and Gay",Travel
294,Reed Group,Electronics
295,Williams-Sanford,Travel
296,Mitchell-Brooks,Restaurant
297,"Compton, Dunn and Gilbert",Travel
298,Davis-Meadows,Electronics
300,Sweeney-Smith,Electronics
301,Wilkins PLC,Market
302,Cox-Cooley,Electronics
303,"May, Russo and James",Clothing
304,Faulkner-Conley,Restaurant
305,Vasquez Ltd,Market
306,Romero PLC,Electronics
307,Webb-Martinez,Travel
308,"Baker, Fox and Dunn",Restaurant
309,Gibson-Beard,Travel
310,Hughes-Schneider,Electronics
311,"Simmons, Meyer and Miller",Electronics
312,"Thompson, Sellers and Wilson",Electronics
313,Price and Sons,Clothing
