Customer ID,Purchasing Power
752858,Low
26381,Low
305449,Low
988259,Low
764762,Low
576539,Low
124681,Mid
521807,Mid
504238,Mid
583532,High
924841,Low
123235,Low
840546,Low
516709,Low
683760,Low
777948,Low
440706,Mid
793150,Mid
27213,Mid
401993,High
103920,Low
943548,Low
178351,Low
615357,Low
111696,Low
6905,Low
291542,Mid
517389,Mid
744599,Mid
726547,High
485562,Low
28347,Low
899551,Low
485255,Low
668341,Low
355400,Low
796123,Mid
343329,Mid
409886,Mid
11697,High
13908,Low
373595,Low
599093,Low
370834,Low
261654,Low
232533,Low
555415,Mid
717993,Mid
573771,Mid
59223,High
801291,Low
858686,Low
652558,Low
39683,Low
344613,Low
62730,Low
816425,Mid
641954,Mid
904827,Mid
779830,High
765738,Low
805732,Low
982485,Low
955318,Low
738539,Low
396758,Low
884080,Mid
34415,Mid
164888,Mid
677049,High
289003,Low
385557,Low
665628,Low
95705,Low
697024,Low
273487,Low
828224,Mid
641695,Mid
410859,Mid
403963,High
526718,Low
364086,Low
178510,Low
143865,Low
946664,Low
800246,Low
884621,Mid
420838,Mid
59633,Mid
361536,High
496809,Low
471552,Low
450062,Low
925651,Low
155186,Low
838514,Low
981118,Mid
658610,Mid
463162,Mid
707412,High
514027,Low
370935,Low
986863,Low
67931,Low
908317,Low
347539,Low
726123,Mid
79597,Mid
95898,Mid
802243,High
805206,Low
140219,Low
796551,Low
465123,Low
428576,Low
672487,Low
471101,Mid
661557,Mid
354655,Mid
41196,High
202678,Low
292008,Low
313343,Low
918581,Low
449817,Low
147364,Low
595276,Mid
266510,Mid
138959,Mid
465981,High
528337,Low
538549,Low
806417,Low
247945,Low
880747,Low
63966,Low
269658,Mid
998320,Mid
538301,Mid
664294,High
949304,Low
71844,Low
160904,Low
140041,Low
760246,Low
954346,Low
603507,Mid
428653,Mid
483307,Mid
80027,High
524694,Low
779318,Low
714392,Low
97841,Low
814720,Low
713796,Low
999791,Mid
514760,Mid
671409,Mid
787275,High
416580,Low
584239,Low
883989,Low
810891,Low
311624,Low
173126,Low
820056,Mid
683369,Mid
269539,Mid
757732,High
604713,Low
77950,Low
427939,Low
152372,Low
197007,Low
308476,Low
805058,Mid
212969,Mid
111995,Mid
613364,High
838364,Low
252520,Low
358563,Low
231013,Low
311124,Low
752844,Low
872305,Mid
696669,Mid
455713,Mid
985602,High
209862,Low
259800,Low
733597,Low
655471,Low
827843,Low
726336,Low
7793,Mid
151825,Mid
178979,Mid
59423,High
957395,Low
187306,Low
379290,Low
508537,Low
760506,Low
830134,Low
228033,Mid
115511,Mid
857685,Mid
659582,High
845147,Low
975406,Low
216148,Low
325243,Low
36470,Low
895352,Low
512231,Mid
733759,Mid
169890,Mid
746742,High
376133,Low
898170,Low
766756,Low
559660,Low
523959,Low
135321,Low
956541,Mid
542031,Mid
875584,Mid
611091,High
670772,Low
527458,Low
403988,Low
7829,Low
99529,Low
889604,Low
531316,Mid
443377,Mid
723676,Mid
609070,High
848726,Low
966310,Low
618528,Low
696639,Low
537845,Low
202536,Low
455049,Mid
893073,Mid
513376,Mid
6526,High
807777,Low
557862,Low
26510,Low
384523,Low
491218,Low
382546,Low
326446,Mid
124147,Mid
401596,Mid
469417,High
66785,Low
616911,Low
643778,Low
485816,Low
951432,Low
954845,Low
583892,Mid
88900,Mid
83144,Mid
736259,High
224307,Low
21099,Low
840937,Low
240657,Low
110112,Low
579730,Low
526777,Mid
594622,Mid
787347,Mid
439045,High
569429,Low
701139,Low
134095,Low
248729,Low
303872,Low
721258,Low
695579,Mid
384380,Mid
881230,Mid
100620,High
28958,Low
799062,Low
459845,Low
387252,Low
747675,Low
123959,Low
106971,Mid
179746,Mid
478134,Mid
986328,High
248395,Low
256977,Low
623669,Low
105836,Low
810630,Low
260128,Low
392787,Mid
862210,Mid
726946,Mid
320618,High
920531,Low
321818,Low
670384,Low
512241,Low
902166,Low
197927,Low
59895,Mid
639867,Mid
367752,Mid
645330,High
503926,Low
664468,Low
672808,Low
552994,Low
282989,Low
584831,Low
405970,Mid
855534,Mid
411991,Mid
948021,High
544605,Low
519214,Low
94568,Low
175803,Low
485783,Low
735533,Low
112710,Mid
437885,Mid
408054,Mid
375453,High
397729,Low
965209,Low
555864,Low
525726,Low
34565,Low
402489,Low
578151,Mid
132375,Mid
322017,Mid
780567,High
467203,Low
486633,Low
361587,Low
801423,Low
551054,Low
81000,Low
422981,Mid
630269,Mid
410506,Mid
975380,High
928833,Low
221424,Low
558832,Low
432882,Low
604673,Low
729265,Low
361892,Mid
858489,Mid
35284,Mid
723891,High
669929,Low
341880,Low
283856,Low
913296,Low
258993,Low
592981,Low
472532,Mid
764741,Mid
511236,Mid
546921,High
176556,Low
907669,Low
296651,Low
57228,Low
998183,Low
979926,Low
741762,Mid
301646,Mid
924803,Mid
614656,High
112977,Low
34552,Low
561456,Low
977466,Low
151383,Low
526633,Low
811255,Mid
997044,Mid
590961,Mid
766568,High
505823,Low
856812,Low
863345,Low
373587,Low
652103,Low
848763,Low
593635,Mid
216051,Mid
554001,Mid
325241,High
875477,Low
218255,Low
239992,Low
547726,Low
14386,Low
811363,Low
133598,Mid
616762,Mid
794261,Mid
343875,High
506663,Low
313289,Low
314053,Low
682354,Low
622868,Low
762591,Low
417462,Mid
368174,Mid
398649,Mid
737157,High
904432,Low
903378,Low
433526,Low
144560,Low
386647,Low
623449,Low
383870,Mid
275481,Mid
962304,Mid
483334,High
551823,Low
873403,Low
984568,Low
337362,Low
544731,Low
337908,Low
894914,Mid
399627,Mid
556186,Mid
666221,High
474440,Low
82014,Low
209845,Low
843977,Low
55927,Low
419071,Low
240295,Mid
29936,Mid
420248,Mid
929086,High
356281,Low
957764,Low
809877,Low
785137,Low
803174,Low
389369,Low
54394,Mid
814565,Mid
298662,Mid
364974,High
973696,Low
978221,Low
13348,Low
896139,Low
969470,Low
205030,Low
380634,Mid
251519,Mid
545777,Mid
262402,High
993772,Low
171987,Low
704737,Low
246787,Low
751589,Low
254468,Low
651224,Mid
203751,Mid
409985,Mid
885772,High
543959,Low
514487,Low
52472,Low
465977,Low
164096,Low
183191,Low
684121,Mid
121462,Mid
826120,Mid
646303,High
227165,Low
51354,Low
898527,Low
542147,Low
618515,Low
983833,Low
198820,Mid
818698,Mid
395232,Mid
916753,High
519662,Low
483360,Low
595132,Low
857149,Low
836654,Low
940167,Low
551717,Mid
161459,Mid
269635,Mid
436820,High
34209,Low
544854,Low
762950,Low
349965,Low
234563,Low
766644,Low
386079,Mid
622864,Mid
196907,Mid
197368,High
829341,Low
717342,Low
247412,Low
146124,Low
227892,Low
669121,Low
892582,Mid
474761,Mid
771156,Mid
455336,High
343642,Low
869401,Low
339117,Low
349959,Low
116037,Low
56082,Low
272175,Mid
614332,Mid
117226,Mid
390831,High
924028,Low
761388,Low
738821,Low
289678,Low
2569,Low
57036,Low
944187,Mid
957619,Mid
990673,Mid
894316,High
801461,Low
679943,Low
161339,Low
761496,Low
576106,Low
496589,Low
640647,Mid
981689,Mid
331113,Mid
533064,High
260643,Low
364792,Low
496130,Low
691725,Low
382393,Low
200691,Low
582319,Mid
681677,Mid
652595,Mid
519367,High
969550,Low
59276,Low
550536,Low
426551,Low
234841,Low
708393,Low
153661,Mid
213397,Mid
230673,Mid
579581,High
458474,Low
977193,Low
926652,Low
417252,Low
329909,Low
301559,Low
138084,Mid
282972,Mid
540337,Mid
173710,High
212453,Low
701017,Low
259428,Low
920423,Low
390736,Low
27774,Low
978066,Mid
918283,Mid
777764,Mid
573549,High
686096,Low
249040,Low
714708,Low
441584,Low
683262,Low
544370,Low
316308,Mid
593625,Mid
91453,Mid
993622,High
580384,Low
735946,Low
926181,Low
766993,Low
481922,Low
680051,Low
758415,Mid
856820,Mid
66858,Mid
262908,High
29306,Low
490071,Low
43037,Low
26348,Low
269466,Low
704043,Low
263953,Mid
343956,Mid
188934,Mid
578442,High
932810,Low
234515,Low
932834,Low
604095,Low
804893,Low
530519,Low
35515,Mid
155077,Mid
31930,Mid
232827,High
775810,Low
730735,Low
211189,Low
153742,Low
805840,Low
705511,Low
802555,Mid
521078,Mid
929713,Mid
62447,High
640483,Low
747367,Low
587716,Low
326183,Low
589232,Low
399803,Low
685223,Mid
420123,Mid
582128,Mid
209275,High
293957,Low
559312,Low
525236,Low
333565,Low
738460,Low
808449,Low
597427,Mid
914669,Mid
720502,Mid
661202,High
540605,Low
230892,Low
938450,Low
718937,Low
130089,Low
799524,Low
212828,Mid
706018,Mid
965548,Mid
322429,High
203173,Low
79837,Low
332928,Low
729759,Low
288117,Low
814110,Low
961730,Mid
125710,Mid
396337,Mid
872524,High
230526,Low
702556,Low
536512,Low
122478,Low
748258,Low
233411,Low
328176,Mid
968238,Mid
203329,Mid
652207,High
896517,Low
271343,Low
338502,Low
107965,Low
949039,Low
228845,Low
957317,Mid
535560,Mid
688127,Mid
733099,High
486425,Low
959890,Low
662027,Low
989025,Low
975373,Low
595156,Low
558923,Mid
93525,Mid
724748,Mid
581729,High
534871,Low
785029,Low
491832,Low
925662,Low
674958,Low
611753,Low
840656,Mid
120909,Mid
650064,Mid
146061,High
308197,Low
240733,Low
342563,Low
819006,Low
591095,Low
766701,Low
192785,Mid
753513,Mid
720828,Mid
732881,High
645496,Low
282197,Low
144299,Low
621849,Low
156144,Low
363686,Low
271541,Mid
419076,Mid
548320,Mid
405553,High
657568,Low
422753,Low
47187,Low
821685,Low
323651,Low
650118,Low
174818,Mid
696702,Mid
25985,Mid
704882,High
227632,Low
653291,Low
287502,Low
815839,Low
4800,Low
882336,Low
844980,Mid
110801,Mid
241269,Mid
17397,High
951956,Low
270874,Low
49268,Low
649121,Low
36335,Low
792943,Low
762629,Mid
740244,Mid
491345,Mid
728381,High
963534,Low
614467,Low
259391,Low
692447,Low
943640,Low
777642,Low
359077,Mid
1246,Mid
237379,Mid
889034,High
785338,Low
737693,Low
143961,Low
172963,Low
131089,Low
414567,Low
996996,Mid
128870,Mid
177230,Mid
65624,High
442426,Low
794252,Low
257512,Low
733870,Low
871438,Low
63009,Low
10718,Mid
674213,Mid
656332,Mid
468214,High
487652,Low
218105,Low
665301,Low
291549,Low
988209,Low
903224,Low
142348,Mid
349817,Mid
208959,Mid
624390,High
72826,Low
186422,Low
771774,Low
665569,Low
556881,Low
100274,Low
449166,Mid
546719,Mid
333390,Mid
307939,High
476692,Low
466177,Low
503409,Low
551432,Low
267069,Low
562181,Low
294773,Mid
118334,Mid
651801,Mid
416195,High
472634,Low
282158,Low
938387,Low
855682,Low
79669,Low
23141,Low
486212,Mid
938924,Mid
453101,Mid
697387,High
187997,Low
677487,Low
765181,Low
164252,Low
254934,Low
941351,Low
12492,Mid
122346,Mid
889586,Mid
695328,High
434100,Low
172533,Low
963351,Low
123853,Low
910502,Low
453534,Low
277430,Mid
659489,Mid
129987,Mid
988837,High
917598,Low
519663,Low
953586,Low
6659,Low
363791,Low
982668,Low
376920,Mid
201914,Mid
409675,Mid
850534,High
518891,Low
593606,Low
925432,Low
38605,Low
196413,Low
237517,Low
803509,Mid
442856,Mid
812315,Mid
489161,High
323840,Low
39130,Low
429777,Low
229741,Low
608984,Low
879970,Low
929123,Mid
338443,Mid
456168,Mid
949739,High
243600,Low
269005,Low
389219,Low
358176,Low
959078,Low
307644,Low
604718,Mid
554257,Mid
372134,Mid
72028,High
130249,Low
290906,Low
476947,Low
709229,Low
586826,Low
427345,Low
82718,Mid
474388,Mid
762861,Mid
611377,High
896912,Low
222228,Low
165015,Low
622638,Low
568868,Low
808679,Low
416530,Mid
271235,Mid
144950,Mid
762715,High
177511,Low
561534,Low
830480,Low
670454,Low
359992,Low
305364,Low
219895,Mid
371949,Mid
18399,Mid
613765,High
191686,Low
930183,Low
469988,Low
163571,Low
9955,Low
469629,Low
29818,Mid
355439,Mid
146027,Mid
97296,High
382765,Low
322926,Low
473250,Low
197148,Low
911373,Low
446417,Low
150026,Mid
111960,Mid
441444,Mid
679158,High
810781,Low
218750,Low
220455,Low
593775,Low
754978,Low
145217,Low
225931,Mid
735194,Mid
402896,Mid
530817,High
11087,Low
578867,Low
824726,Low
291192,Low
551271,Low
686517,Low
942962,Mid
400906,Mid
145001,Mid
279351,High
261727,Low
933784,Low
114386,Low
313838,Low
425570,Low
558372,Low
214860,Mid
269210,Mid
401786,Mid
170045,High
722997,Low
708302,Low
972056,Low
780259,Low
420898,Low
241226,Low
537004,Mid
74597,Mid
883524,Mid
634146,High
124890,Low
56799,Low
449256,Low
165940,Low
927239,Low
353900,Low
647296,Mid
409295,Mid
861037,Mid
290848,High
79488,Low
701797,Low
896644,Low
512527,Low
127643,Low
887778,Low
660933,Mid
258291,Mid
711524,Mid
455874,High
66871,Low
612887,Low
821687,Low
625237,Low
193646,Low
770334,Low
572131,Mid
940908,Mid
939902,Mid
708149,High
917881,Low
634850,Low
629929,Low
812119,Low
524398,Low
369714,Low
179770,Mid
700315,Mid
456346,Mid
15677,High
58763,Low
107534,Low
271724,Low
247878,Low
117393,Low
773662,Low
169217,Mid
242274,Mid
294601,Mid
578719,High
328810,Low
933503,Low
345926,Low
13464,Low
672788,Low
242386,Low
853516,Mid
673275,Mid
627942,Mid
878964,High
18794,Low
896231,Low
113975,Low
549577,Low
409712,Low
941692,Low
263359,Mid
780508,Mid
539241,Mid
10487,High
363989,Low
539847,Low
509151,Low
563954,Low
610636,Low
858879,Low
555985,Mid
795588,Mid
725195,Mid
524658,High
949666,Low
748478,Low
722354,Low
406976,Low
953246,Low
206507,Low
308368,Mid
390446,Mid
258742,Mid
858425,High
254860,Low
630714,Low
957631,Low
831267,Low
165254,Low
259620,Low
689159,Mid
489244,Mid
443629,Mid
448583,High
570326,Low
202345,Low
876436,Low
620764,Low
367161,Low
316248,Low
886987,Mid
748666,Mid
279688,Mid
985896,High
711812,Low
500236,Low
47728,Low
473313,Low
428379,Low
968579,Low
705386,Mid
389566,Mid
789540,Mid
409861,High
457021,Low
80294,Low
788353,Low
345158,Low
197846,Low
829844,Low
819921,Mid
617038,Mid
176383,Mid
556135,High
484959,Low
289922,Low
648912,Low
563682,Low
703941,Low
405744,Low
595071,Mid
302146,Mid
911272,Mid
855641,High
729230,Low
931156,Low
790518,Low
194582,Low
674666,Low
910911,Low
487023,Mid
182529,Mid
629783,Mid
887082,High
318646,Low
16117,Low
251746,Low
277748,Low
173157,Low
521488,Low
511960,Mid
313508,Mid
895385,Mid
257894,High
511793,Low
328794,Low
710344,Low
880854,Low
795587,Low
174799,Low
99770,Mid
268082,Mid
618109,Mid
47686,High
696493,Low
917900,Low
768566,Low
707275,Low
139757,Low
603041,Low
732447,Mid
225486,Mid
750529,Mid
571084,High
394710,Low
540127,Low
566582,Low
461988,Low
728357,Low
329151,Low
103225,Mid
551862,Mid
648555,Mid
644358,High
470351,Low
975636,Low
550671,Low
1704,Low
99442,Low
982464,Low
418136,Mid
455017,Mid
56195,Mid
167540,High
141209,Low
685309,Low
429251,Low
548756,Low
383899,Low
986837,Low
702118,Mid
